training_diagnostics_schema_version,step,action_bound_clipping_frequency,speed_action_bound_clipping_frequency,turn_rate_action_bound_clipping_frequency,mean_action_bound_clipping_norm,max_action_bound_clipping_norm,method,display_name,train_seed,checkpoint_sha256,training_projection_enabled,run_dir,projection_transition_count,projection_intervention_count,projection_intervention_frequency,mean_projection_correction_norm,max_projection_correction_norm,mean_projection_slack_sum,max_projection_slack,projection_solver_failure_count
training_diagnostics_v1,14336,0.5419921875,0.34765625,0.2890625,0.33169665932655334,4.8751091957092285,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,15360,0.5302734375,0.2958984375,0.330078125,0.331560343503952,2.6988399028778076,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,16384,0.51953125,0.31640625,0.3037109375,0.3095934987068176,2.4101712703704834,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,17408,0.5390625,0.314453125,0.337890625,0.31715384125709534,2.392782688140869,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,18432,0.5380859375,0.3115234375,0.33984375,0.33365532755851746,2.894333839416504,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,19456,0.54296875,0.3486328125,0.294921875,0.320006400346756,2.329638957977295,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,20480,0.5458984375,0.32421875,0.345703125,0.3256535828113556,2.555828094482422,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,21504,0.5498046875,0.3046875,0.3427734375,0.32892680168151855,2.454989433288574,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,22528,0.5439453125,0.3466796875,0.3095703125,0.3484821319580078,2.9127140045166016,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,23552,0.533203125,0.30859375,0.3388671875,0.305602490901947,2.308316946029663,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,24576,0.5390625,0.345703125,0.298828125,0.322909414768219,2.3790392875671387,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,25600,0.546875,0.349609375,0.3203125,0.33478158712387085,2.680048942565918,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,26624,0.5517578125,0.3232421875,0.3359375,0.3238503038883209,2.6743409633636475,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,27648,0.5361328125,0.3134765625,0.3271484375,0.3149111568927765,3.188387870788574,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,28672,0.5419921875,0.3251953125,0.3291015625,0.3381025493144989,2.958915948867798,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,29696,0.54296875,0.333984375,0.314453125,0.3236425518989563,2.7870054244995117,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,30720,0.515625,0.3291015625,0.287109375,0.3076472282409668,2.391512870788574,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,31744,0.52734375,0.322265625,0.30859375,0.3265785574913025,2.5539703369140625,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,32768,0.5859375,0.3662109375,0.3466796875,0.34200161695480347,2.945436954498291,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,33792,0.541015625,0.3291015625,0.30859375,0.3129468560218811,3.0715723037719727,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,34816,0.517578125,0.314453125,0.306640625,0.3232630789279938,2.655191659927368,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,35840,0.5205078125,0.31640625,0.2939453125,0.3027843236923218,2.9237618446350098,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,36864,0.5625,0.3623046875,0.296875,0.3535477817058563,3.079446792602539,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,37888,0.53125,0.3212890625,0.3125,0.3080049157142639,3.127380132675171,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,38912,0.5439453125,0.33984375,0.322265625,0.34287312626838684,3.2750890254974365,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,39936,0.5390625,0.3544921875,0.294921875,0.3382417857646942,2.8185625076293945,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,40960,0.583984375,0.365234375,0.3330078125,0.34914061427116394,2.535820960998535,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,41984,0.546875,0.369140625,0.2900390625,0.3367769420146942,2.609496593475342,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,43008,0.548828125,0.369140625,0.2978515625,0.3254217803478241,2.720984697341919,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,44032,0.5546875,0.373046875,0.2890625,0.3238064646720886,2.3965260982513428,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,45056,0.5478515625,0.359375,0.2900390625,0.3307856321334839,2.2690210342407227,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,46080,0.5556640625,0.3525390625,0.3154296875,0.3374202847480774,2.85624361038208,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,47104,0.5537109375,0.3701171875,0.2998046875,0.34455013275146484,3.380589008331299,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,48128,0.556640625,0.349609375,0.302734375,0.31774279475212097,2.1149752140045166,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,49152,0.5478515625,0.35546875,0.2939453125,0.33094051480293274,2.538872241973877,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,50176,0.55078125,0.35546875,0.3134765625,0.36171454191207886,3.376142978668213,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,51200,0.541015625,0.349609375,0.298828125,0.3337661027908325,3.0911660194396973,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed1__1__1786675596,,,,,,,,
training_diagnostics_v1,1024,0.525390625,0.306640625,0.33203125,0.3171607255935669,2.894812822341919,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed2__2__1786765127,,,,,,,,
training_diagnostics_v1,2048,0.5283203125,0.3203125,0.3115234375,0.3221682906150818,3.426246166229248,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed2__2__1786765127,,,,,,,,
training_diagnostics_v1,3072,0.544921875,0.3203125,0.3310546875,0.329826295375824,2.3075335025787354,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed2__2__1786765127,,,,,,,,
training_diagnostics_v1,4096,0.5546875,0.3310546875,0.328125,0.33157867193222046,3.0287184715270996,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed2__2__1786765127,,,,,,,,
training_diagnostics_v1,5120,0.5458984375,0.33203125,0.3115234375,0.317358136177063,2.5999183654785156,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,False,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\ConstrainedNavigation-v0__ppo_baseline_51200_seed2__2__1786765127,,,,,,,,
