method,train_seed,training_collision_penalty,training_projection_enabled,checkpoint_sha256,layout_suite_schema_version,layout_suite_id,layout_suite_sha256,layout_suite_path,layout_id,layout_repeat,evaluation_seed,evaluation_collision_penalty,evaluation_policy_mode,max_episode_steps,layout_max_obstacles,layout_agent_radius,layout_goal_radius,projection_mode,policy,checkpoint,episode,seed,episode_return,episode_length,success,collision,terminated,truncated,final_distance_to_goal,min_obstacle_clearance,action_bound_clipping_count,action_bound_clipping_rate,speed_action_bound_clipping_count,speed_action_bound_clipping_rate,turn_rate_action_bound_clipping_count,turn_rate_action_bound_clipping_rate,mean_action_bound_clipping_norm,max_action_bound_clipping_norm,projection_enabled,projection_intervention_count,projection_intervention_rate,mean_projection_correction_norm,max_projection_correction_norm,mean_projection_slack_sum,max_projection_slack,projection_solver_failure_count,projection_lookahead_distance,projection_alpha,projection_slack_penalty,projection_extra_clearance,source_csv,result_build_schema_version
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,0,10000,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,0,10000,-6.393481888908425,200,False,False,False,True,1.8849874271122289,0.6604276062747346,108,0.54,62,0.31,68,0.34,0.3327304277410472,2.0944983959198,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,1,10001,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,1,10001,-4.363975597776018,200,False,False,False,True,0.9059090285106204,0.7742158013736206,105,0.525,63,0.315,63,0.315,0.3478191921280759,2.13814640045166,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,2,10002,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,2,10002,7.627933660121137,185,True,False,True,False,0.2370334899092449,0.5168236052765937,106,0.572972972972973,73,0.3945945945945946,62,0.3351351351351351,0.3443446151642053,2.164551258087158,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,3,10003,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,3,10003,-4.37875681619433,200,False,False,False,True,0.8525656566948959,0.1595470405861982,112,0.56,70,0.35,67,0.335,0.3545526588392866,2.0008366107940674,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,4,10004,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,4,10004,-5.687254281336379,200,False,False,False,True,1.609766040637019,0.1615811283529843,105,0.525,67,0.335,56,0.28,0.3088623726810286,2.985300779342652,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,5,10005,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,5,10005,-6.7593078383623535,200,False,False,False,True,2.0735029033150303,0.6794501616129348,109,0.545,68,0.34,63,0.315,0.3669265634887538,2.0635948181152344,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,6,10006,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,6,10006,8.228046650738456,166,True,False,True,False,0.2258479634393201,0.5610101731955747,93,0.5602409638554217,51,0.3072289156626506,56,0.3373493975903614,0.3457916138376095,2.7159395983453694,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,7,10007,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,7,10007,-5.347204962581388,200,False,False,False,True,1.2772763777091516,0.5541175705105917,117,0.585,69,0.345,72,0.36,0.3430935179925004,2.285024807065817,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,8,10008,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,8,10008,-6.221675654172541,200,False,False,False,True,1.7321536623243576,0.2700478576231488,110,0.55,76,0.38,61,0.305,0.3329262579994636,2.0990248057656435,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,9,10009,10.0,stochastic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,9,10009,-4.182964066131367,200,False,False,False,True,0.7568907293874833,0.5387525261934678,106,0.53,71,0.355,60,0.3,0.2929554032449018,1.7410881519317627,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
