result_build_schema_version,method,display_name,train_seed,checkpoint,checkpoint_sha256,projection_mode,episode_count,layout_count,episode_return,episode_length,success_rate,collision_rate,min_obstacle_clearance,action_bound_clipping_rate,speed_action_bound_clipping_rate,turn_rate_action_bound_clipping_rate,action_bound_clipping_norm,action_bound_clipping_norm_max,projection_intervention_rate,projection_correction_norm,projection_correction_norm_max,projection_slack_sum,projection_slack_max,training_collision_penalty,training_projection_enabled
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,3,runs\checkpoints\final\ppo_high_penalty_51200_seed3.pt,48e6b29f11086f82bb7f139dd80c052e298b8823ceb40af4967097c4f8743b97,disabled,24,24,-5.487165563956004,200.0,0.0,0.0,0.6560170613627727,0.0,0.0,0.0,0.0,0.0,,,,,,50.0,False
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,3,runs\checkpoints\final\ppo_high_penalty_51200_seed3.pt,48e6b29f11086f82bb7f139dd80c052e298b8823ceb40af4967097c4f8743b97,enabled,24,24,-5.4880064091649645,200.0,0.0,0.0,0.6564896159696038,0.0,0.0,0.0,0.0,0.0,0.00125,2.3789711035558423e-05,0.0274349707087164,3.119384670293886e-08,3.559983771537284e-05,50.0,False
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,4,runs\checkpoints\final\ppo_high_penalty_51200_seed4.pt,c57feec3843b8e3e585dc713ff618665322279b1975ee8277d305a134b7bbb80,disabled,24,24,-5.589310557487344,200.0,0.0,0.0,0.9658652957802157,0.6333333333333333,0.6333333333333333,0.0,0.1298888211448987,0.6036432981491089,,,,,,50.0,False
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,4,runs\checkpoints\final\ppo_high_penalty_51200_seed4.pt,c57feec3843b8e3e585dc713ff618665322279b1975ee8277d305a134b7bbb80,enabled,24,24,-5.589310557487344,200.0,0.0,0.0,0.9658652957802157,0.6333333333333333,0.6333333333333333,0.0,0.1298888211448987,0.6036432981491089,0.0,5.20202461113071e-19,5.551115123125783e-17,0.0,0.0,50.0,False
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,5,runs\checkpoints\final\ppo_high_penalty_51200_seed5.pt,45d8ccefb072cbd8badc1551770d69a5c5a31c61b936add71224ea5172ff83d4,disabled,24,24,-5.96696352511816,200.0,0.0,0.0,0.9174907054123512,0.2804166666666667,0.2804166666666667,0.0,0.02189907963077224,0.2265224456787109,,,,,,50.0,False
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,5,runs\checkpoints\final\ppo_high_penalty_51200_seed5.pt,45d8ccefb072cbd8badc1551770d69a5c5a31c61b936add71224ea5172ff83d4,enabled,24,24,-5.96696352511816,200.0,0.0,0.0,0.9174907054123512,0.2804166666666667,0.2804166666666667,0.0,0.02189907963077224,0.2265224456787109,0.0,1.833860009768643e-18,1.1102230246251563e-16,0.0,0.0,50.0,False
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,1,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,disabled,24,24,-3.4974510374804155,54.166666666666664,0.25,0.5833333333333334,0.05766498067856953,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,1,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,enabled,24,24,-0.6613997270690843,136.125,0.2916666666666667,0.16666666666666666,0.1443123411977042,0.11062500000000001,0.11062500000000001,0.0,0.0010465060174465123,0.0210050344467163,0.5547808609701533,0.44498975123605367,1.021754372778822,0.0007250491905601107,0.0041147236961871,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,2,runs\checkpoints\final\ppo_train_projection_51200_seed2.pt,94a7e01271b6c4fdc2c40ab4df16731f351c85303fbfdd4a66df84cf7df61528,disabled,24,24,-3.2487579566320193,51.125,0.25,0.625,0.0770140906375217,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,2,runs\checkpoints\final\ppo_train_projection_51200_seed2.pt,94a7e01271b6c4fdc2c40ab4df16731f351c85303fbfdd4a66df84cf7df61528,enabled,24,24,0.33670700194608094,122.70833333333333,0.3333333333333333,0.20833333333333334,0.15108221538629626,0.0,0.0,0.0,0.0,0.0,0.5459191315275593,0.3921876783327798,0.904860508328972,0.000674942344694744,0.0039695387658391,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,3,runs\checkpoints\final\ppo_train_projection_51200_seed3.pt,8dd06c30b16fafd91d3e679f5262588e83f69345442e3f605e40213d266208ef,disabled,24,24,-1.7906993946836696,36.041666666666664,0.3333333333333333,0.625,0.03191566212036287,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,3,runs\checkpoints\final\ppo_train_projection_51200_seed3.pt,8dd06c30b16fafd91d3e679f5262588e83f69345442e3f605e40213d266208ef,enabled,24,24,1.1806243333609256,129.25,0.375,0.125,0.14677383125391616,0.0,0.0,0.0,0.0,0.0,0.5809004050799457,0.41213561635708884,1.009283013000691,0.0006751433950998475,0.004298735710872,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,4,runs\checkpoints\final\ppo_train_projection_51200_seed4.pt,fe5cf72639d7b42227099dba859c4bc05d33760b1ab46464c8237636967b6f16,disabled,24,24,-3.5836511966195217,45.833333333333336,0.25,0.6666666666666666,0.0542254946655079,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,4,runs\checkpoints\final\ppo_train_projection_51200_seed4.pt,fe5cf72639d7b42227099dba859c4bc05d33760b1ab46464c8237636967b6f16,enabled,24,24,0.13172972016925008,153.66666666666666,0.2916666666666667,0.041666666666666664,0.16780408676588573,0.0,0.0,0.0,0.0,0.0,0.5854870392208246,0.38609306741748495,0.7778816987696519,0.0006383981458348331,0.0029706596656944,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,5,runs\checkpoints\final\ppo_train_projection_51200_seed5.pt,152c446a47682b6accaa1d5d54a6c547bcf0772aac856079d10c709b5dea791d,disabled,24,24,-2.778772442189131,39.583333333333336,0.2916666666666667,0.6666666666666666,0.05426084310519136,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,True
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,5,runs\checkpoints\final\ppo_train_projection_51200_seed5.pt,152c446a47682b6accaa1d5d54a6c547bcf0772aac856079d10c709b5dea791d,enabled,24,24,1.5514039411451248,137.16666666666666,0.375,0.08333333333333333,0.16072714833082852,0.0,0.0,0.0,0.0,0.0,0.5679404994404612,0.3658028975702036,0.8179433602560361,0.0005908586104841209,0.0034805628679344,10.0,True
