mode,family,layouts,mean_return,success_rate,collision_rate,timeout_rate,mean_clearance,interventions,mean_intervention_rate,max_correction,max_slack,solver_failures
projection_off,control,4,-8.454386858887137,0.0,0.25,0.75,0.3367092219068282,0,0.0,0.0,0.0,0
projection_off,single,6,-7.83426664872729,0.0,0.16666666666666666,0.8333333333333334,0.3446343361010802,0,0.0,0.0,0.0,0
projection_off,double,8,-4.9574989485480545,0.125,0.125,0.75,0.34367346982138414,0,0.0,0.0,0.0,0
projection_off,triple,6,12.278892023222062,1.0,0.0,0.0,0.24445700351201474,0,0.0,0.0,0.0,0
projection_on,control,4,-8.538520743695171,0.0,0.25,0.75,0.35345257728977103,75,0.1986029411764706,0.601043809321141,0.0022092620852947,0
projection_on,single,6,-6.897861263878352,0.0,0.0,1.0,0.3566525546511022,45,0.0375,0.5784150335335719,0.0017596992646848,0
projection_on,double,8,-2.241235060241846,0.25,0.0,0.75,0.3476570511693847,25,0.027634803921568623,0.4263265433419854,0.001338914862747,0
projection_on,triple,6,12.272440774501119,1.0,0.0,0.0,0.26114282479490414,21,0.034529096291982114,0.1772097848407888,0.0001497770315133,0
